,movie_title,release_date,genre,MPAA_rating,MovieSuccessLevel,voice_actor_count,character_count,director_count
0,Recess: School's Out,16-Feb-01,Comedy,G,C,,,
1,D2: The Mighty Ducks,25-Mar-94,Comedy,PG,B,,,
2,Home on the Range,2-Apr-04,Comedy,PG,C,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0
3,Young Black Stallion,25-Dec-03,Adventure,G,D,,,
4,What's Love Got to Do With It,9-Jun-93,Drama,R,B,,,
5,Lady and the Tramp,22-Jun-55,Drama,G,S,"[4, 3, 1, 3, 1, 6, 3, 3, 3, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",2.0
6,Corky Romano,12-Oct-01,Comedy,PG-13,C,,,
7,The Waterboy,6-Nov-98,Comedy,PG-13,A,,,
8,Captain America: The Winter Soldier,4-Apr-14,Action,PG-13,A,,,
9,Pirates of the Caribbean: Dead Man’…,7-Jul-06,Adventure,PG-13,S,,,
10,Ladder 49,1-Oct-04,Action,PG-13,B,,,
11,Coyote Ugly,4-Aug-00,Drama,PG-13,B,,,
12,The Sixth Man,28-Mar-97,Comedy,PG-13,C,,,
13,Dick Tracy,15-Jun-90,Action,PG,A,,,
14,Sister Act 2 Back in the Habit,10-Dec-93,Comedy,PG,B,,,
15,DuckTales: The Movie - Treasure of th…,3-Aug-90,Adventure,G,C,,,
16,Blame it on the Bellboy,6-Mar-92,Comedy,PG-13,D,,,
17,The Hunchback of Notre Dame,21-Jun-96,Adventure,G,B,"[50, 4, 1, 1, 50, 1, 2, 2, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3.0
18,Ernest Goes to Jail,6-Apr-90,Comedy,PG,C,,,
19,Ant-Man,17-Jul-15,Action,PG-13,B,,,
20,The Shaggy Dog,10-Mar-06,Comedy,PG,B,,,
21,The Life Aquatic with Steve Zissou,10-Dec-04,Comedy,R,C,,,
22,Bridge to Terabithia,16-Feb-07,Drama,PG,B,,,
23,Beauty and the Beast,13-Nov-91,Musical,G,A,"[1, 1, 1, 1, 1, 6, 1, 3, 1, 4, 3, 1, 1, 2, 1, 2, 1, 4, 22]","[1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3.0
24,Miami Rhapsody,27-Jan-95,Romantic Comedy,PG-13,D,,,
25,A Bug's Life,20-Nov-98,Adventure,G,A,,,
26,3 Men and a Little Lady,21-Nov-90,Comedy,PG,B,,,
27,The Puppet Masters,21-Oct-94,Horror,R,D,,,
28,Signs,2-Aug-02,Thriller/Suspense,PG-13,A,,,
29,Dead Presidents,4-Oct-95,Drama,R,C,,,
30,"McFarland, USA",20-Feb-15,Drama,PG,C,,,
31,George Of The Jungle,16-Jul-97,Comedy,PG,B,,,
32,Bound by Honor,16-Apr-93,,R,D,,,
33,The Avengers,4-May-12,Action,PG-13,S,,,
34,Ten Things I Hate About You,31-Mar-99,Romantic Comedy,PG-13,C,,,
35,Earth,22-Apr-09,Documentary,G,C,,,
36,Hello Again,6-Nov-87,Comedy,,C,,,
37,When a Man Loves a Woman,29-Apr-94,Drama,R,B,,,
38,Unbreakable,22-Nov-00,Thriller/Suspense,PG-13,B,,,
39,3 Men and a Baby,25-Nov-87,Comedy,PG,A,,,
40,X Games 3D: The Movie,21-Aug-09,Documentary,PG,D,,,
41,Cars 2,24-Jun-11,Adventure,G,A,,,
42,The Princess Diaries 2: Royal Engagement,11-Aug-04,Romantic Comedy,G,B,,,
43,The Jungle Book 2,14-Feb-03,Adventure,G,C,,,
44,Aspen Extreme,22-Jan-93,Romantic Comedy,PG-13,D,,,
45,Noises Off...,20-Mar-92,Comedy,PG-13,D,,,
46,He Got Game,1-May-98,Drama,R,C,,,
47,Bringing Down the House,7-Mar-03,Comedy,PG-13,B,,,
48,Bon Voyage!,17-May-62,Comedy,Not Rated,B,,,
49,Doctor Strange,4-Nov-16,Adventure,PG-13,A,,,
50,Flubber,26-Nov-97,Comedy,PG,B,,,
51,Roving Mars,27-Jan-06,Documentary,G,D,,,
52,Captain Ron,18-Sep-92,Comedy,PG-13,C,,,
53,Shadow Conspiracy,31-Jan-97,Thriller/Suspense,R,D,,,
54,Good Morning Vietnam,23-Dec-87,Comedy,R,A,,,
55,Babes in Toyland,14-Dec-61,Musical,G,B,,,
56,An Innocent Man,6-Oct-89,Drama,R,C,,,
57,Summer of Sam,2-Jul-99,Drama,R,C,,,
58,The Good Dinosaur,25-Nov-15,Adventure,PG,B,,,
59,Angels in the Outfield,15-Jul-94,Comedy,PG,B,,,
60,Tough Guys,3-Oct-86,Comedy,,C,,,
61,Something Wicked This Way Comes,29-Apr-83,Horror,,D,,,
62,The Rocketeer,21-Jun-91,Action,PG,B,,,
63,Stakeout,5-Aug-87,Comedy,R,B,,,
64,National Treasure 2: Book of Secrets,21-Dec-07,Adventure,PG,A,,,
65,Terminal Velocity,23-Sep-94,Action,PG-13,C,,,
66,Apocalypto,8-Dec-06,Adventure,R,C,,,
67,Invincible,25-Aug-06,Drama,PG,B,,,
68,25th Hour,19-Dec-02,Drama,R,D,,,
69,Mighty Joe Young,25-Dec-98,Adventure,PG,B,,,
70,Deceived,27-Sep-91,Thriller/Suspense,PG-13,C,,,
71,Never Cry Wolf,7-Oct-83,Drama,,B,,,
72,G-Force,24-Jul-09,Adventure,PG,B,,,
73,Feast of July,13-Oct-95,Drama,R,D,,,
74,The Lookout,30-Mar-07,Drama,R,D,,,
75,Cool Runnings,1-Oct-93,Comedy,PG,B,,,
76,Alice Through the Looking Glass,27-May-16,Adventure,PG,B,,,
77,The Devil and Max Devlin,1-Jan-81,,,C,,,
78,The Chronicles of Narnia: Prince Caspian,16-May-08,Adventure,PG,B,,,
