movie_title,voice_actor_count,character_count
101 Dalmatians: The Series,"[6, 3]","[1, 1]"
A Goofy Movie,"[1, 1, 1, 2]","[1, 1, 1, 1]"
Aladdin,"[22, 1, 1, 1, 1, 1, 50, 2, 1, 1, 22, 16, 2, 2]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
Aladdin (TV series),"[2, 22]","[1, 1]"
Aladdin and the King of Thieves,"[1, 2]","[1, 1]"
Aladdin in Nasira's Revenge,[2],[1]
Alice Solves the Puzzle,[1],[1]
Alice in Wonderland,"[2, 2, 2, 5, 1, 4, 50, 6, 1, 2, 1, 1, 1, 3, 1, 5, 5, 6]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
An Adventure in Color,[1],[1]
An Extremely Goofy Movie,"[1, 8, 2, 3]","[1, 1, 1, 1]"
Atlantis: The Lost Empire,"[1, 1, 1, 1, 4, 8, 1, 1, 1, 1, 3, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
Bambi,"[1, 1, 1, 1, 1, 1, 1, 1, 50, 1, 1, 1, 1]","[3, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
Bambi II,"[1, 3, 1]","[1, 1, 1]"
Beauty and the Beast,"[1, 1, 1, 1, 1, 6, 1, 3, 1, 4, 3, 1, 1, 2, 1, 2, 1, 4, 22]","[1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
Beauty and the Beast: The Enchanted Christmas,"[1, 8, 6, 1, 2]","[1, 1, 1, 1, 1]"
Bedknobs and Broomsticks,"[1, 1, 2, 2]","[1, 1, 1, 1]"
Belle's Magical World,"[4, 8, 6, 16, 50]","[1, 1, 1, 1, 1]"
Bone Trouble,[22],[1]
Bonkers,"[16, 22, 1, 22]","[1, 1, 1, 1]"
Brother Bear,"[1, 1, 1, 1, 2, 1, 1]","[1, 1, 1, 1, 1, 1, 1]"
Brother Bear 2,"[1, 8, 2, 1, 6, 1, 1, 2]","[1, 1, 1, 1, 1, 1, 1, 1]"
Chip 'n Dale Rescue Rangers,"[16, 6, 16, 16, 8]","[1, 1, 1, 1, 1]"
Cinderella,"[1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 7, 50, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
Cinderella II: Dreams Come True,"[6, 22, 1]","[2, 1, 1]"
Darkwing Duck,"[1, 1, 1, 16, 1, 16, 1, 2, 1, 1, 6, 16, 1, 1, 6, 1, 2, 2, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
Dinosaur,"[2, 1, 1, 1, 2, 1, 1, 1, 50, 1, 2]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
Disney Fairies,"[6, 8, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
Donald Duck and the Gorilla,[50],[1]
Donald's Cousin Gus,[1],[1]
Donald's Nephews,"[3, 3, 3]","[1, 1, 1]"
DuckTales,"[2, 2, 50, 22, 1, 2, 22, 50, 1, 3, 3, 3, 1, 3, 3, 16, 1, 4, 6, 2, 4, 2, 7, 7, 22, 2, 7, 1, 1, 1, 2]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
Dumbo,"[1, 1, 50, 50, 1, 1, 4, 3, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
Enchanted,"[1, 2, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1]"
Fantasia,"[16, 8, 6, 6, 50, 8]","[1, 1, 1, 1, 1, 1]"
Fantasia 2000,"[50, 50, 1, 1, 50, 50, 1, 50]","[1, 1, 1, 1, 1, 1, 1, 1]"
Frozen,"[1, 3, 2, 1, 1, 1, 1, 50]","[1, 1, 1, 1, 1, 1, 1, 1]"
Fun and Fancy Free,[2],[1]
Goof Troop,"[22, 1, 4, 6, 1, 22]","[1, 1, 1, 1, 1, 1]"
Grin and Bear It,[6],[1]
Hercules,"[1, 1, 2, 2, 1, 1, 1, 2, 1, 1, 1, 1, 3, 1, 1, 16, 1, 22, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
Higglytown Heroes,[2],[1]
Hold That Pose,[1],[1]
Home on the Range,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
House of Mouse,"[50, 50, 50, 1]","[1, 1, 1, 1]"
Journey into Imagination with Figment,[1],[1]
Jungle Cubs,"[2, 2, 6, 2]","[1, 1, 1, 1]"
Lady and the Tramp,"[4, 3, 1, 3, 1, 6, 3, 3, 3, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
Lady and the Tramp II: Scamp's Adventure,"[1, 1, 1, 6, 6, 8, 1, 1, 1, 1, 50, 1]","[1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1]"
Lilo & Stitch,"[1, 1, 1, 4, 2, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
Make Mine Music,[50],[1]
Meet the Robinsons,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
